Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
54039;54;10;"Laboratorio di tessitura artistica a mano """"Giud";2013;2013-07-16T15:16:55Z;2386541132;12,3836595;43,1174101
54039;54;10;Museo del Capitolo della cattedrale di San Loren;2014;2014-06-19T10:18:43Z;2386544442;12,3886346;43,1123043
54024;54;10; ;2013;2013-07-15T07:14:00Z;2385034916;12,5844868;43,3564652
54024;54;10;Museo del Duomo;2013;2013-09-12T23:03:12Z;2456290747;12,5797321;43,3536253
54050;54;10;Pinacoteca;2014;2014-01-02T16:20:14Z;2350852677;12,6718897;42,9900796
54050;54;10;Museo delle Infiorate;2013;2013-06-25T11:10:09Z;2354666231;12,6718124;42,9918979
54054;54;10;Museo della Civiltà dell’Olivo;2013;2013-12-22T18:33:44Z;2463282320;12,7467969;42,8785104
51024;51;9;Museo delle Bilance;2014;2014-07-19T20:25:11Z;2645391002;12,1125341;43,4851661
51030;51;9;Civiltà Contadina;2014;2014-04-27T22:54:38Z;2821964042;12,0420159;43,668841
58091;58;12;Museo delle poste e telecomunicazioni;2015;2015-05-31T12:26:13Z;2683531122;12,4673333;41,8309736
58092;58;12;Museo della Civiltà Contadina;2014;2014-05-05T09:54:46Z;2837460708;12,9935605;42,0251757
42016;42;11;Museo Internazionale dell' Etichetta;2014;2014-03-24T12:19:31Z;2739273260;13,1173687;43,4455742
